#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 712 | 0.000005800s | 64 B
                 713 | 0.000007000s | 64 B
                 714 | 0.000007100s | 64 B
                 715 | 0.000008100s | 64 B
                 716 | 0.000008800s | 64 B
                 717 | 0.000007600s | 64 B
                 718 | 0.000007500s | 64 B
                 719 | 0.000007900s | 64 B
                 720 | 0.000007100s | 64 B
                 721 | 0.000007300s | 64 B
                 722 | 0.000006300s | 64 B
                 723 | 0.000007100s | 64 B
                 724 | 0.000007200s | 64 B
                 725 | 0.000007200s | 64 B
                 726 | 0.000007200s | 64 B
                 727 | 0.000007300s | 64 B
                1804 | 0.000011200s | 160 B
                2881 | 0.000018100s | 256 B
                3958 | 0.000024100s | 344 B
                5035 | 0.000046400s | 440 B
                6112 | 0.000067700s | 536 B
                7189 | 0.000070900s | 624 B
                8266 | 0.000138500s | 720 B
                9343 | 0.000183500s | 816 B
               10420 | 0.000169500s | 912 B
               11497 | 0.000157800s | 1000 B
               12574 | 0.000149100s | 1096 B
               13651 | 0.000220000s | 1192 B
               14728 | 0.000262700s | 1280 B
               15805 | 0.000239800s | 1376 B
               16882 | 0.000407900s | 1472 B
               17959 | 0.000596600s | 1560 B
               19036 | 0.000483200s | 1656 B
               20113 | 0.000791900s | 1752 B
               21190 | 0.000631500s | 1840 B
               22267 | 0.000620000s | 1936 B
               23344 | 0.000593600s | 2032 B
               24421 | 0.000687100s | 2120 B
               25498 | 0.000801000s | 2216 B
               26575 | 0.000642500s | 2312 B
               27652 | 0.000683500s | 2400 B
               28729 | 0.000685300s | 2496 B
               29806 | 0.000781200s | 2592 B
               30883 | 0.000711200s | 2680 B
               31960 | 0.001022900s | 2776 B
               33037 | 0.001520200s | 2872 B
               34114 | 0.001807000s | 2968 B
               35191 | 0.001970300s | 3056 B
               36268 | 0.001690500s | 3152 B
               37345 | 0.001844300s | 3248 B
