#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 639 | 0.000027300s | 56 B
                 640 | 0.000020700s | 56 B
                 641 | 0.000024500s | 56 B
                 642 | 0.000024700s | 56 B
                 643 | 0.000024800s | 56 B
                 644 | 0.000024400s | 56 B
                 645 | 0.000031800s | 56 B
                 646 | 0.000032300s | 56 B
                 647 | 0.000030900s | 57 B
                 648 | 0.000022100s | 57 B
                 649 | 0.000036300s | 57 B
                 650 | 0.000026500s | 57 B
                 651 | 0.000035200s | 57 B
                 652 | 0.000022400s | 57 B
                 653 | 0.000062200s | 57 B
                 654 | 0.000025400s | 57 B
                 655 | 0.000026200s | 57 B
                 656 | 0.000024000s | 57 B
                 657 | 0.000025100s | 57 B
                 658 | 0.000025500s | 57 B
                 659 | 0.000025500s | 58 B
                 660 | 0.000024500s | 58 B
                 661 | 0.000023700s | 58 B
                 662 | 0.000025300s | 58 B
                 663 | 0.000027800s | 58 B
                 664 | 0.000023200s | 58 B
                 665 | 0.000025500s | 58 B
                 666 | 0.000025100s | 58 B
                 667 | 0.000027000s | 58 B
                 668 | 0.000026100s | 58 B
                 669 | 0.000028800s | 58 B
                 670 | 0.000036800s | 58 B
                 671 | 0.000037300s | 59 B
                 672 | 0.000024200s | 59 B
                 673 | 0.000026300s | 59 B
                 674 | 0.000025600s | 59 B
                 675 | 0.000029500s | 59 B
                 676 | 0.000025500s | 59 B
                 677 | 0.000037900s | 59 B
                 678 | 0.000026800s | 59 B
                 679 | 0.000035900s | 59 B
                 680 | 0.000025700s | 59 B
                 681 | 0.000025100s | 59 B
                 682 | 0.000027600s | 60 B
                 683 | 0.000036900s | 60 B
                 684 | 0.000026300s | 60 B
                 685 | 0.000025700s | 60 B
                 686 | 0.000027900s | 60 B
                 687 | 0.000032300s | 60 B
                 688 | 0.000065200s | 60 B
                 689 | 0.000023900s | 60 B
                 690 | 0.000026500s | 60 B
                 691 | 0.000027500s | 60 B
                 692 | 0.000063900s | 60 B
                 693 | 0.000027600s | 60 B
                 694 | 0.000025700s | 61 B
                 695 | 0.000025600s | 61 B
                 696 | 0.000026400s | 61 B
                 697 | 0.000025000s | 61 B
                 698 | 0.000028100s | 61 B
                 699 | 0.000040300s | 61 B
                 700 | 0.000024500s | 61 B
                 701 | 0.000035300s | 61 B
                 702 | 0.000025600s | 61 B
                 703 | 0.000032000s | 61 B
                 704 | 0.000024400s | 61 B
                 705 | 0.000025900s | 62 B
                 706 | 0.000033600s | 62 B
                 707 | 0.000030900s | 62 B
                 708 | 0.000030500s | 62 B
                 709 | 0.000036700s | 62 B
                 710 | 0.000037800s | 62 B
                 711 | 0.000027800s | 62 B
                 712 | 0.000026600s | 62 B
                 713 | 0.000036900s | 62 B
                 714 | 0.000025500s | 62 B
                 715 | 0.000081500s | 62 B
                 716 | 0.000035500s | 62 B
                 717 | 0.000037400s | 63 B
                 718 | 0.000028400s | 63 B
                 719 | 0.000030300s | 63 B
                 720 | 0.000026200s | 63 B
                 721 | 0.000025300s | 63 B
                 722 | 0.000027700s | 63 B
                 723 | 0.000031100s | 63 B
                 724 | 0.000034200s | 63 B
                 725 | 0.000028800s | 63 B
                 726 | 0.000028400s | 63 B
                 727 | 0.000030000s | 63 B
                3530 | 0.000156900s | 307 B
                6333 | 0.000301800s | 550 B
                9136 | 0.000545500s | 793 B
               11939 | 0.000878600s | 1036 B
               14742 | 0.001456500s | 1280 B
               17545 | 0.001355500s | 1523 B
               20348 | 0.001846500s | 1766 B
               23151 | 0.002234100s | 2009 B
               25954 | 0.003011900s | 2253 B
               28757 | 0.002899700s | 2496 B
               31560 | 0.004165600s | 2739 B
               34363 | 0.004418700s | 2982 B
               37166 | 0.004756300s | 3226 B
               39969 | 0.005160700s | 3469 B
               42772 | 0.005489200s | 3712 B
               45575 | 0.006084400s | 3955 B
               48378 | 0.008016900s | 4199 B
               51181 | 0.008574700s | 4442 B
               53984 | 0.007774600s | 4685 B
               56787 | 0.010284500s | 4928 B
               59590 | 0.009095900s | 5172 B
               62393 | 0.011391600s | 5415 B
               65196 | 0.012179200s | 5658 B
               67999 | 0.012551700s | 5901 B
               70802 | 0.011364600s | 6145 B
               73605 | 0.013700400s | 6388 B
               76408 | 0.013974300s | 6631 B
               79211 | 0.016404600s | 6874 B
               82014 | 0.014744100s | 7118 B
               84817 | 0.016683600s | 7361 B
               87620 | 0.016235500s | 7604 B
               90423 | 0.018876600s | 7847 B
               93226 | 0.018226900s | 8091 B
               96029 | 0.021222000s | 8334 B
