#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                 574 | 0.000002400s | 50 B
                 575 | 0.000002900s | 50 B
                 576 | 0.000002300s | 50 B
                 577 | 0.000002500s | 50 B
                 578 | 0.000002500s | 51 B
                 579 | 0.000002500s | 51 B
                 580 | 0.000006800s | 51 B
                 581 | 0.000002500s | 51 B
                 582 | 0.000002400s | 51 B
                 583 | 0.000003300s | 51 B
                 584 | 0.000002600s | 51 B
                 585 | 0.000002300s | 51 B
                 586 | 0.000002200s | 51 B
                 587 | 0.000002900s | 51 B
                 588 | 0.000002200s | 51 B
                 589 | 0.000002400s | 51 B
                 590 | 0.000002200s | 52 B
                 591 | 0.000002400s | 52 B
                 592 | 0.000002300s | 52 B
                 593 | 0.000002700s | 52 B
                 594 | 0.000002700s | 52 B
                 595 | 0.000002500s | 52 B
                 596 | 0.000002400s | 52 B
                 597 | 0.000002500s | 52 B
                 598 | 0.000002400s | 52 B
                 599 | 0.000002500s | 52 B
                 600 | 0.000002300s | 52 B
                 601 | 0.000002400s | 53 B
                 602 | 0.000002300s | 53 B
                 603 | 0.000003300s | 53 B
                 604 | 0.000002500s | 53 B
                 605 | 0.000002800s | 53 B
                 606 | 0.000002300s | 53 B
                 607 | 0.000002800s | 53 B
                 608 | 0.000002400s | 53 B
                 609 | 0.000002400s | 53 B
                 610 | 0.000002200s | 53 B
                 611 | 0.000002400s | 53 B
                 612 | 0.000002900s | 53 B
                 613 | 0.000003200s | 54 B
                 614 | 0.000002700s | 54 B
                 615 | 0.000003000s | 54 B
                 616 | 0.000002400s | 54 B
                 617 | 0.000002400s | 54 B
                 618 | 0.000002300s | 54 B
                 619 | 0.000002400s | 54 B
                 620 | 0.000002300s | 54 B
                 621 | 0.000002300s | 54 B
                 622 | 0.000002800s | 54 B
                 623 | 0.000002700s | 54 B
                 624 | 0.000002700s | 55 B
                 625 | 0.000002600s | 55 B
                 626 | 0.000002400s | 55 B
                 627 | 0.000002600s | 55 B
                 628 | 0.000002500s | 55 B
                 629 | 0.000002500s | 55 B
                 630 | 0.000002400s | 55 B
                 631 | 0.000002500s | 55 B
                 632 | 0.000002400s | 55 B
                 633 | 0.000002800s | 55 B
                 634 | 0.000003300s | 55 B
                 635 | 0.000002700s | 55 B
                 636 | 0.000002400s | 56 B
                 637 | 0.000002600s | 56 B
                 638 | 0.000002300s | 56 B
                 639 | 0.000002500s | 56 B
                 640 | 0.000002400s | 56 B
                 641 | 0.000002500s | 56 B
                 642 | 0.000002300s | 56 B
                 643 | 0.000012700s | 56 B
                 644 | 0.000003000s | 56 B
                 645 | 0.000003100s | 56 B
                 646 | 0.000002600s | 56 B
                 647 | 0.000002700s | 57 B
                 648 | 0.000002500s | 57 B
                 649 | 0.000002700s | 57 B
                 650 | 0.000002700s | 57 B
                 651 | 0.000002600s | 57 B
                 652 | 0.000002500s | 57 B
                 653 | 0.000002700s | 57 B
                 654 | 0.000003400s | 57 B
                 655 | 0.000003400s | 57 B
                 656 | 0.000002800s | 57 B
                 657 | 0.000002700s | 57 B
                 658 | 0.000002900s | 57 B
                 659 | 0.000002700s | 58 B
                 660 | 0.000002400s | 58 B
                 661 | 0.000003800s | 58 B
                 662 | 0.000002600s | 58 B
                 663 | 0.000002700s | 58 B
                 664 | 0.000003200s | 58 B
                 665 | 0.000003000s | 58 B
                 666 | 0.000002900s | 58 B
                 667 | 0.000003400s | 58 B
                 668 | 0.000002400s | 58 B
                 669 | 0.000002700s | 58 B
                 670 | 0.000002800s | 58 B
                 671 | 0.000003400s | 59 B
                 672 | 0.000002900s | 59 B
                 673 | 0.000003200s | 59 B
                 674 | 0.000002600s | 59 B
                 675 | 0.000002800s | 59 B
                 676 | 0.000002500s | 59 B
                 677 | 0.000002600s | 59 B
                 678 | 0.000002400s | 59 B
                 679 | 0.000002700s | 59 B
                 680 | 0.000002500s | 59 B
                 681 | 0.000003100s | 59 B
                 682 | 0.000002900s | 60 B
                 683 | 0.000002900s | 60 B
                 684 | 0.000002700s | 60 B
                 685 | 0.000002700s | 60 B
                 686 | 0.000002400s | 60 B
                 687 | 0.000002700s | 60 B
                 688 | 0.000002600s | 60 B
                 689 | 0.000002600s | 60 B
                 690 | 0.000002400s | 60 B
                 691 | 0.000008200s | 60 B
                 692 | 0.000002900s | 60 B
                 693 | 0.000002800s | 60 B
                 694 | 0.000002600s | 61 B
                 695 | 0.000002900s | 61 B
                 696 | 0.000002500s | 61 B
                 697 | 0.000002700s | 61 B
                 698 | 0.000002500s | 61 B
                 699 | 0.000002800s | 61 B
                 700 | 0.000002900s | 61 B
                 701 | 0.000003500s | 61 B
                 702 | 0.000002900s | 61 B
                 703 | 0.000003500s | 61 B
                 704 | 0.000003000s | 61 B
                 705 | 0.000003300s | 62 B
                 706 | 0.000002600s | 62 B
                 707 | 0.000002700s | 62 B
                 708 | 0.000002300s | 62 B
                 709 | 0.000003100s | 62 B
                 710 | 0.000003000s | 62 B
                 711 | 0.000002700s | 62 B
                 712 | 0.000002500s | 62 B
                 713 | 0.000003500s | 62 B
                 714 | 0.000002800s | 62 B
                 715 | 0.000003200s | 62 B
                 716 | 0.000002600s | 62 B
                 717 | 0.000003000s | 63 B
                 718 | 0.000002500s | 63 B
                 719 | 0.000002700s | 63 B
                 720 | 0.000002400s | 63 B
                 721 | 0.000002600s | 63 B
                 722 | 0.000002600s | 63 B
                 723 | 0.000003200s | 63 B
                 724 | 0.000002500s | 63 B
                 725 | 0.000002600s | 63 B
                 726 | 0.000002800s | 63 B
                 727 | 0.000002900s | 63 B
              176805 | 0.000353400s | 15344 B
              352883 | 0.000698500s | 30624 B
              528961 | 0.001206900s | 45904 B
              705039 | 0.001651800s | 61184 B
              881117 | 0.002457800s | 76464 B
             1057195 | 0.002819500s | 91744 B
             1233273 | 0.003845600s | 107024 B
             1409351 | 0.004135000s | 122304 B
             1585429 | 0.005217900s | 137584 B
             1761507 | 0.005986000s | 152864 B
             1937585 | 0.006778700s | 168144 B
             2113663 | 0.007319600s | 183425 B
             2289741 | 0.008159300s | 198705 B
             2465819 | 0.008398400s | 213985 B
             2641897 | 0.009585600s | 229265 B
             2817975 | 0.009348100s | 244545 B
             2994053 | 0.011308000s | 259825 B
             3170131 | 0.011088200s | 275105 B
             3346209 | 0.013227100s | 290385 B
             3522287 | 0.014963000s | 305665 B
             3698365 | 0.015599800s | 320945 B
             3874443 | 0.014177100s | 336225 B
             4050521 | 0.016029600s | 351506 B
             4226599 | 0.014932000s | 366786 B
             4402677 | 0.016999100s | 382066 B
             4578755 | 0.017419000s | 397346 B
             4754833 | 0.018924100s | 412626 B
             4930911 | 0.018461400s | 427906 B
             5106989 | 0.021014900s | 443186 B
             5283067 | 0.019907000s | 458466 B
             5459145 | 0.021834300s | 473746 B
             5635223 | 0.019512200s | 489026 B
